,M,S,E,I,C,R,Total,Rep
0.06896741798478401,159,18,0,1,0,834,1012,2
0.06920339169014766,160,18,0,1,0,834,1013,2
0.07,159,19,0,1,0,834,1013,2
0.07088227277227088,159,19,0,0,0,835,1013,2
0.0,96,31,0,1,0,872,1000,3
0.0010428581122248204,96,31,0,1,0,871,999,3
0.0011242837038797516,97,31,0,1,0,871,1000,3
0.0015185291266166766,98,31,0,1,0,871,1001,3
0.0024968092521660767,99,31,0,1,0,871,1002,3
0.007282331099493072,100,31,0,1,0,871,1003,3
0.007640825159518942,101,31,0,1,0,871,1004,3
0.008746122307960832,102,31,0,1,0,871,1005,3
0.010222949725628538,102,31,0,1,0,870,1004,3
0.011185762756267816,103,31,0,1,0,870,1005,3
0.011254587259772464,103,31,0,1,0,869,1004,3
0.01193332881412045,104,31,0,1,0,869,1005,3
0.012800949703375196,104,30,1,1,0,869,1005,3
0.013227948522797739,104,30,1,1,0,868,1004,3
0.01343687985609508,104,30,0,2,0,868,1004,3
0.01541185458752663,105,30,0,2,0,868,1005,3
0.017372605256951168,105,30,0,2,0,867,1004,3
0.01753507460167736,105,30,0,2,0,866,1003,3
0.017945552288968568,106,30,0,2,0,866,1004,3
0.01798994366550577,106,30,0,2,0,865,1003,3
0.018447932269615386,106,30,0,2,0,864,1002,3
0.01933725063766377,107,30,0,2,0,864,1003,3
0.019620960217825,107,30,0,2,0,863,1002,3
0.02080750515026535,107,30,0,1,0,864,1002,3
0.021579146944679033,108,30,0,1,0,864,1003,3
0.021980614679721604,108,29,1,1,0,864,1003,3
0.024122939702451163,108,29,1,1,0,863,1002,3
0.025579565886806405,109,29,1,1,0,863,1003,3
0.025690592459320986,109,29,0,2,0,863,1003,3
0.02673936525244173,109,28,1,2,0,863,1003,3
0.027293929981209247,109,28,0,3,0,863,1003,3
0.027744044000700185,109,28,0,3,0,862,1002,3
0.029346905594925844,110,28,0,3,0,862,1003,3
0.03055913579762448,110,28,0,3,0,861,1002,3
0.03129670378475239,109,28,0,3,0,861,1001,3
0.03341761515372219,110,28,0,3,0,861,1002,3
0.03348881811921147,110,28,0,2,0,862,1002,3
0.03417132026530397,109,28,0,2,0,862,1001,3
0.035413281634462716,110,28,0,2,0,862,1002,3
0.037280842070128925,111,28,0,2,0,862,1003,3
0.03767979660109097,111,27,1,2,0,862,1003,3
0.037966598425865555,111,27,0,3,0,862,1003,3
0.03961966855349668,111,26,1,3,0,862,1003,3
0.03999999999999998,110,27,1,3,0,862,1003,3
0.04120382748975952,111,27,1,3,0,862,1004,3
0.041353158914714236,111,27,0,4,0,862,1004,3
0.04169023943955131,112,27,0,4,0,862,1005,3
0.041937524493471226,113,27,0,4,0,862,1006,3
0.041973514867876316,114,27,0,4,0,862,1007,3
0.0420703903678956,115,27,0,4,0,862,1008,3
0.0424418688583611,116,27,0,4,0,862,1009,3
0.04251200232309466,116,27,0,3,0,863,1009,3
0.04324434167363355,117,27,0,3,0,863,1010,3
0.04403836424932775,118,27,0,3,0,863,1011,3
0.04476161779266258,117,27,0,3,0,863,1010,3
0.045646560624931665,117,26,0,3,0,863,1009,3
0.046454519791938154,117,26,0,3,0,862,1008,3
0.04730589691476253,117,26,0,2,0,863,1008,3
0.048765267415516914,118,26,0,2,0,863,1009,3
0.05241191576167406,119,26,0,2,0,863,1010,3
0.05295573501869599,119,26,0,2,0,862,1009,3
0.053167800699486734,119,25,1,2,0,862,1009,3
0.05320706137430945,119,25,1,1,0,863,1009,3
0.053209275426045276,119,25,0,2,0,863,1009,3
0.05655225092334185,120,25,0,2,0,863,1010,3
0.05785291602410155,120,24,1,2,0,863,1010,3
0.05800801106138473,120,24,1,1,0,864,1010,3
0.05863081678390602,120,24,0,2,0,864,1010,3
0.058867457676067464,121,24,0,2,0,864,1011,3
0.05896384856229775,121,24,0,2,0,863,1010,3
0.061350143982959286,121,23,1,2,0,863,1010,3
0.06185845533513756,121,23,1,2,0,862,1009,3
0.06214277701685058,122,23,1,2,0,862,1010,3
0.0630026759231051,123,23,1,2,0,862,1011,3
0.06319728410626285,122,23,1,2,0,862,1010,3
0.06326784615157059,123,23,1,2,0,862,1011,3
0.0634166449000912,124,23,1,2,0,862,1012,3
0.06344701004412888,124,23,0,3,0,862,1012,3
0.06517219589484916,124,23,0,2,0,863,1012,3
0.06548659806233093,124,23,0,2,0,862,1011,3
0.0660688304027496,123,23,0,2,0,862,1010,3
0.0667186577984443,124,23,0,2,0,862,1011,3
0.0677403111403992,125,23,0,2,0,862,1012,3
0.06897005216920751,126,23,0,2,0,862,1013,3
0.07078824056508498,127,23,0,2,0,862,1014,3
0.07095145949456057,128,23,0,2,0,862,1015,3
0.07100040054679155,128,22,1,2,0,862,1015,3
0.07200761736945978,128,22,0,3,0,862,1015,3
0.0739502540566489,128,21,0,3,0,862,1014,3
0.07413733256397188,129,21,0,3,0,862,1015,3
0.07460515827780555,129,21,0,2,0,863,1015,3
0.07542019144262196,130,21,0,2,0,863,1016,3
0.07855317819736665,131,21,0,2,0,863,1017,3
0.08000000000000002,130,22,0,2,0,863,1017,3
0.0810745987959738,131,22,0,2,0,863,1018,3
0.0845057389305115,131,22,0,2,0,862,1017,3
0.08500113977396516,132,22,0,2,0,862,1018,3
0.0875521868310114,132,22,0,1,0,863,1018,3
0.08756967758821849,132,22,0,0,0,864,1018,3
0.0,102,10,1,0,0,887,1000,4
0.002542313053458962,103,10,1,0,0,887,1001,4
0.0025464944447033335,104,10,1,0,0,887,1002,4
0.0029649048633673125,104,10,1,0,0,886,1001,4
0.0034808724883941267,104,10,1,0,0,885,1000,4
0.00349264669312094,105,10,1,0,0,885,1001,4
0.0036585942015603893,105,10,0,1,0,885,1001,4
0.005282171230931914,106,10,0,1,0,885,1002,4
0.006277320659966728,107,10,0,1,0,885,1003,4
0.006363755387658543,107,10,0,1,0,884,1002,4
0.006797304068630439,107,10,0,1,0,883,1001,4
0.007440520126031587,108,10,0,1,0,883,1002,4
0.007887176837578502,107,10,0,1,0,883,1001,4
0.008288686820693243,108,10,0,1,0,883,1002,4
0.009331840164170657,108,10,0,1,0,882,1001,4
0.010266161100144444,108,10,0,1,0,881,1000,4
0.010779668545739298,109,10,0,1,0,881,1001,4
0.0121425574699528,110,10,0,1,0,881,1002,4
0.012736991216943494,110,10,0,1,0,880,1001,4
0.014289174138140766,110,10,0,0,0,881,1001,4
0.0,96,16,0,1,0,887,1000,5
0.00034246306767227175,96,16,0,1,0,886,999,5
0.0003915892067185567,96,16,0,1,0,885,998,5
0.0033053184720870377,96,16,0,1,0,884,997,5
0.0033351931168104365,95,16,0,1,0,884,996,5
0.004943955848304933,94,16,0,1,0,884,995,5
0.007258468619488312,94,16,0,1,0,883,994,5
0.010000000000000009,93,17,0,1,0,883,994,5
0.011585412686659247,93,17,0,1,0,882,993,5
0.011746894475310634,94,17,0,1,0,882,994,5
0.012720006606837213,95,17,0,1,0,882,995,5
0.013737764886583298,96,17,0,1,0,882,996,5
0.01494448901572909,96,17,0,1,0,881,995,5
0.01675848802565394,96,17,0,1,0,880,994,5
0.01760079099542931,96,17,0,0,0,881,994,5
0.0,100,19,0,3,0,878,1000,6
0.0033914519223068955,100,18,1,3,0,878,1000,6
0.004261149937778686,101,18,1,3,0,878,1001,6
0.005088786806977816,101,18,0,4,0,878,1001,6
0.00547230866244367,102,18,0,4,0,878,1002,6
0.007798472205223561,102,18,0,4,0,877,1001,6
0.008062893549613079,103,18,0,4,0,877,1002,6
0.008231955618652333,104,18,0,4,0,877,1003,6
0.008319720020758826,104,18,0,3,0,878,1003,6
0.008793803149409914,104,18,0,2,0,879,1003,6
0.009536258368839867,104,18,0,2,0,878,1002,6
0.009847704573815008,104,18,0,2,0,877,1001,6
0.010000000000000009,103,19,0,2,0,877,1001,6
0.010072090292442232,102,19,0,2,0,877,1000,6
0.01038419852789797,103,19,0,2,0,877,1001,6
0.010695068305007993,103,19,0,2,0,876,1000,6
0.010704471635971949,103,19,0,1,0,877,1000,6
0.011976429021827566,104,19,0,1,0,877,1001,6
0.01225045380386014,104,19,0,1,0,876,1000,6
0.01342890268999053,104,19,0,1,0,875,999,6
0.013743031578603127,104,19,0,1,0,874,998,6
0.01712617070563387,105,19,0,1,0,874,999,6
0.017758019725768293,105,19,0,1,0,873,998,6
0.018989103853673583,105,19,0,1,0,872,997,6
0.02029747775445756,105,19,0,1,0,871,996,6
0.02232300959600283,106,19,0,1,0,871,997,6
0.02290360935615965,106,19,0,1,0,870,996,6
0.02313047591410959,107,19,0,1,0,870,997,6
0.02424260744259074,107,18,1,1,0,870,997,6
0.028385636471302572,107,18,0,2,0,870,997,6
0.028532242143829923,107,18,0,1,0,871,997,6
0.02996399770937022,106,18,0,1,0,871,996,6
0.03009628172535611,105,18,0,1,0,871,995,6
0.03128330647062649,106,18,0,1,0,871,996,6
0.032880625054014345,106,18,0,1,0,870,995,6
0.03298795620939206,106,17,1,1,0,870,995,6
0.03384780622565252,106,17,0,2,0,870,995,6
0.0347489711171427,106,17,0,2,0,869,994,6
0.035222824694303156,106,17,0,2,0,868,993,6
0.03526267095437596,106,17,0,2,0,867,992,6
0.0354489471105799,107,17,0,2,0,867,993,6
0.0368465372510709,107,17,0,2,0,866,992,6
0.03708821302619847,107,17,0,2,0,865,991,6
0.03890864393531923,107,17,0,2,0,864,990,6
0.043014687406076724,107,17,0,2,0,863,989,6
0.04414712801561003,107,17,0,1,0,864,989,6
0.044303822726826356,108,17,0,1,0,864,990,6
0.04434107629023565,108,17,0,1,0,863,989,6
0.04497230774793252,109,17,0,1,0,863,990,6
0.04548192810524744,110,17,0,1,0,863,991,6
0.045529417967023394,109,17,0,1,0,863,990,6
0.045821613725080965,109,17,0,0,0,864,990,6
0.0,101,14,0,1,0,884,1000,7
0.00045539164624708306,101,14,0,1,0,883,999,7
0.002274134098120939,101,14,0,1,0,882,998,7
0.002839612798858374,102,14,0,1,0,882,999,7
0.002994201352813974,103,14,0,1,0,882,1000,7
0.004310718744669595,103,14,0,1,0,881,999,7
0.004516667806520008,104,14,0,1,0,881,1000,7
0.006478120205365201,104,14,0,1,0,880,999,7
0.006938081940605301,104,14,0,1,0,879,998,7
0.008181754479261727,104,14,0,1,0,878,997,7
0.01187623672871772,105,14,0,1,0,878,998,7
0.014954964441043325,106,14,0,1,0,878,999,7
0.015814659458241564,106,14,0,1,0,877,998,7
0.017015485659705062,107,14,0,1,0,877,999,7
0.018443433336745585,107,14,0,1,0,876,998,7
0.01907234094365657,108,14,0,1,0,876,999,7
0.019078499423922562,109,14,0,1,0,876,1000,7
0.021709522072839604,109,14,0,1,0,875,999,7
0.022135001413465246,110,14,0,1,0,875,1000,7
0.022286635870697014,110,14,0,1,0,874,999,7
0.02262556087047507,110,14,0,1,0,873,998,7
0.022968996217677326,111,14,0,1,0,873,999,7
0.023696030024704214,112,14,0,1,0,873,1000,7
0.024989496220372942,112,14,0,1,0,872,999,7
0.0260622460703426,113,14,0,1,0,872,1000,7
0.02778666772652717,114,14,0,1,0,872,1001,7
0.027986409086754094,114,14,0,1,0,871,1000,7
0.028396007740420615,114,14,0,1,0,870,999,7
0.028440667984654288,115,14,0,1,0,870,1000,7
0.030737759872389258,116,14,0,1,0,870,1001,7
0.031343084739535954,116,14,0,1,0,869,1000,7
0.03216012785774391,116,14,0,0,0,870,1000,7
0.0,116,17,0,2,0,865,1000,8
0.0014053297796329507,116,16,1,2,0,865,1000,8
0.0030256802706460917,116,16,1,2,0,864,999,8
0.0033445999104308732,115,16,1,2,0,864,998,8
0.0034540810475370315,116,16,1,2,0,864,999,8
0.003562134287493546,117,16,1,2,0,864,1000,8
0.003562788398397659,117,15,2,2,0,864,1000,8
0.003688728820051052,118,15,2,2,0,864,1001,8
0.0037436867319686046,119,15,2,2,0,864,1002,8
0.004812096169944798,119,15,1,3,0,864,1002,8
0.006555483983218311,120,15,1,3,0,864,1003,8
0.008040383510219792,120,15,1,2,0,865,1003,8
0.008804833119309657,121,15,1,2,0,865,1004,8
0.010000000000000009,120,16,1,2,0,865,1004,8
0.010597602974456345,120,16,0,3,0,865,1004,8
0.011596524274604765,121,16,0,3,0,865,1005,8
0.013180241213032608,122,16,0,3,0,865,1006,8
0.014321109888299564,123,16,0,3,0,865,1007,8
0.015215554582042046,123,16,0,3,0,864,1006,8
0.01543823851341066,124,16,0,3,0,864,1007,8
0.015475089369368034,123,16,0,3,0,864,1006,8
0.0161061601969047,123,15,1,3,0,864,1006,8
0.016693974672678275,124,15,1,3,0,864,1007,8
0.01706314128449679,123,15,1,3,0,864,1006,8
0.01730411865872039,123,15,1,3,0,863,1005,8
0.019901616136067446,123,15,1,3,0,862,1004,8
0.019937799423532247,123,15,1,2,0,863,1004,8
0.02045387670101317,123,15,0,3,0,863,1004,8
0.021281511999906313,122,15,0,3,0,863,1003,8
0.022248483260861023,123,15,0,3,0,863,1004,8
0.022261393983003863,124,15,0,3,0,863,1005,8
0.02242457673594872,123,15,0,3,0,863,1004,8
0.022431701095842697,123,14,1,3,0,863,1004,8
0.023606810050510452,123,14,0,4,0,863,1004,8
0.024914290266992243,124,14,0,4,0,863,1005,8
0.02556233245934081,124,14,0,4,0,862,1004,8
0.0277108047446184,124,14,0,4,0,861,1003,8
0.03135818093589042,123,14,0,4,0,861,1002,8
0.03144961881288033,123,14,0,4,0,860,1001,8
0.03171817173690439,123,14,0,4,0,859,1000,8
0.031916832152658836,123,14,0,4,0,858,999,8
0.032517457959325466,124,14,0,4,0,858,1000,8
0.034642433304782116,124,14,0,4,0,857,999,8
