,M,S,I,R,Total,Rep
0.056491330064972006,59,260,5,681,1005,6
0.056948607669881024,59,259,6,681,1005,6
0.05791806122499904,59,259,5,682,1005,6
0.05912004269205337,59,258,6,682,1005,6
0.059497782797882114,59,257,7,682,1005,6
0.06,58,258,7,682,1005,6
0.06007592929684416,58,257,8,682,1005,6
0.0610452135753571,58,256,9,682,1005,6
0.061333172319241104,58,255,10,682,1005,6
0.06161979038563989,58,255,9,683,1005,6
0.06219065489146156,58,255,8,684,1005,6
0.06227967442171792,58,254,9,684,1005,6
0.0629115446399341,58,253,10,684,1005,6
0.06299975413263656,58,253,9,685,1005,6
0.06336821247857877,58,253,8,686,1005,6
0.06401669368087855,58,252,9,686,1005,6
0.06415482175333771,58,251,10,686,1005,6
0.06438467063651034,58,251,9,687,1005,6
0.06581355446801422,58,251,8,688,1005,6
0.06632181550071606,58,251,7,689,1005,6
0.06648257356565639,58,250,8,689,1005,6
0.06664260478626868,59,250,8,689,1006,6
0.06664874790157642,60,250,8,689,1007,6
0.06671242118566212,60,250,7,690,1007,6
0.06765089947493493,60,249,8,690,1007,6
0.06846423928304858,60,249,7,691,1007,6
0.06912411739014959,60,248,8,691,1007,6
0.0691655941704485,60,248,7,692,1007,6
0.07034498368012575,60,248,6,693,1007,6
0.07195033744818306,60,247,7,693,1007,6
0.07523438239740617,60,247,6,694,1007,6
0.07572122953100184,60,247,5,695,1007,6
0.07733664444164313,60,246,6,695,1007,6
0.0789607663493217,60,245,6,695,1006,6
0.07937648948664645,60,245,5,696,1006,6
0.07993440325223578,60,245,4,697,1006,6
0.08137250729650448,60,245,3,698,1006,6
0.0833940234431743,61,245,3,698,1007,6
0.085653543967178,61,245,2,699,1007,6
0.08899588675339609,61,245,1,700,1007,6
0.0895240134673898,60,245,1,700,1006,6
0.09225337926172224,60,246,1,700,1007,6
0.09393088083998338,59,246,1,700,1006,6
0.09505904224688383,59,246,0,701,1006,6
0.0971128850749933,60,246,0,701,1007,6
0.0,67,268,2,663,1000,7
0.0004029796048417532,67,268,1,664,1000,7
0.0007710133915890012,68,268,1,664,1001,7
0.0015319032209261145,69,268,1,664,1002,7
0.0022449942846058946,69,268,1,663,1001,7
0.00351409067527276,70,268,1,663,1002,7
0.004473936141579286,71,268,1,663,1003,7
0.0045306912652045145,70,268,1,663,1002,7
0.005104070119821147,70,267,2,663,1002,7
0.005728263113040887,71,267,2,663,1003,7
0.009582237433008345,71,267,2,662,1002,7
0.010171035477264001,72,267,2,662,1003,7
0.011150154081862595,72,267,2,661,1002,7
0.014262836986635538,72,267,1,662,1002,7
0.014661850778908213,73,267,1,662,1003,7
