ID,capture,SAT,titer
26,5,3,<1.3
26,6,1,1.78806685085686
26,6,2,>2.2
26,6,3,1.42083714231541
26,7,1,1.79137963703851
26,7,2,>2.2
26,7,3,<1.3
26,8,1,1.31565619462629
26,8,2,>2.2
26,8,3,<1.3
26,9,1,<1.3
26,9,2,>2.2
26,9,3,<1.3
26,10,1,<1.3
26,10,2,>2.2
26,10,3,<1.3
26,11,1,1.66213636508999
26,11,2,1.88972745676531
26,11,3,<1.3
26,12,1,1.58177144912352
26,12,2,>2.2
26,12,3,<1.3
26,13,1,1.9
26,13,2,1.6
26,13,3,<1.3
26,14,1,2.1
26,14,2,2.3
26,14,3,<1.3
26,15,1,1.6
26,15,2,2
26,15,3,<1.3
26,16,1,2
26,16,2,1.9
26,16,3,<1.3
26,17,1,2
26,17,2,2.3
26,17,3,<1.3
27,3,1,1.87244986983393
27,3,2,>2.2
27,3,3,>2.2
27,4,1,1.9
27,4,2,1.5
27,4,3,1.9
27,5,1,>2.2
27,5,2,<1.3
27,5,3,>2.2
27,6,1,2.2
27,6,2,1.7
27,6,3,2.1
27,7,1,>2.2
27,7,2,1.87117425074442
27,7,3,>2.2
27,8,1,2.18928631987855
27,8,2,1.90808337554561
27,8,3,>2.2
27,9,1,>2.2
27,9,2,>2.2
27,9,3,>2.2
27,10,1,>2.2
27,10,2,>2.2
27,10,3,>2.2
27,12,1,>2.2
27,12,2,>2.2
27,12,3,>2.2
27,13,1,2.4
27,13,2,1.5
27,13,3,1.9
27,14,1,2.4
27,14,2,1.9
27,14,3,2
27,15,1,2.3
27,15,2,1.6
27,15,3,1.8
27,16,1,2.4
27,16,2,1.5
27,16,3,2.4
27,17,1,2.3
27,17,2,1.8
27,17,3,1.9
28,1,1,1.94043463498306
28,1,2,>2.2
28,1,3,<1.3
28,3,1,1.51559219722335
28,3,2,2.02026343310093
28,3,3,1.54533849954271
28,4,1,<1.3
28,4,2,1.7
28,4,3,<1.3
28,5,1,1.35988868642024
28,5,2,1.93629323190466
28,5,3,<1.3
28,6,1,1.6
28,6,2,1.6
28,6,3,<1.3
28,7,1,1.95671095496959
28,7,2,2.11695434649954
28,7,3,1.46806113197443
28,8,1,1.5979107150266
28,8,2,2.0059894582586
28,8,3,<1.3
28,9,1,1.3
28,9,2,>2.2
28,9,3,<1.3
28,10,1,<1.3
28,10,2,1.77088940148357
28,10,3,<1.3
28,11,1,1.91530468539169
28,11,2,1.77604420468491
28,11,3,<1.3
28,12,1,2.01222835195379
28,12,2,>2.2
28,12,3,<1.3
28,13,1,2.2
28,13,2,1.4
28,13,3,<1.3
28,14,1,1.9
28,14,2,1.6
28,14,3,<1.3
28,15,1,1.9
28,15,2,1.7
28,15,3,<1.3
28,16,1,2.1
28,16,2,1.4
28,16,3,<1.3
28,17,1,2
28,17,2,1.9
28,17,3,<1.3
29,1,1,>2.2
29,1,2,>2.2
29,1,3,>2.2
29,3,1,2.09055216461075
29,3,2,>2.2
29,3,3,1.87466374284091
29,4,1,>2.2
29,4,2,1.9
29,4,3,1.5
30,1,1,1.80782782616675
30,1,2,>2.2
30,1,3,>2.2
30,3,1,2.00982176296202
30,3,2,>2.2
30,3,3,>2.2
30,4,1,1.4
30,4,2,1.6
30,4,3,1.4
30,5,1,1.64849378919009
30,5,2,>2.2
30,5,3,1.98848290728899
30,6,1,1.95589389369749
30,6,2,>2.2
30,6,3,>2.2
30,7,1,1.9592264531057
30,7,2,>2.2
30,7,3,1.9025316377684
30,8,1,<1.3
30,8,2,1.93893538339506
30,8,3,1.71964589072395
30,9,1,1.3
30,9,2,>2.2
30,9,3,2.1
30,10,1,<1.3
30,10,2,>2.2
30,10,3,1.88961579753817
30,11,1,1.93185684812115
30,11,2,1.81701358669956
30,11,3,1.76735282531073
30,12,1,2.06599798597345
30,12,2,>2.2
30,12,3,>2.2
30,13,1,2.1
30,13,2,1.5
30,13,3,1.7
30,14,1,2.3
30,14,2,1.9
30,14,3,1.9
30,15,1,2
30,15,2,1.7
30,15,3,1.7
30,16,1,1.9
30,16,2,1.4
30,16,3,1.8
30,17,1,2.1
30,17,2,1.9
30,17,3,1.9
31,1,1,>2.2
31,1,2,>2.2
31,1,3,>2.2
31,3,1,>2.2
31,3,2,>2.2
31,3,3,>2.2
31,4,1,>2.2
31,4,2,2.1
31,4,3,1.5
31,5,1,>2.2
31,5,2,>2.2
31,5,3,>2.2
31,6,1,>2.2
31,6,2,>2.2
31,6,3,>2.2
31,7,1,>2.2
31,7,2,>2.2
31,7,3,>2.2
