ID,capture,year,month,day
42,19,2017,8,2
43,1,2014,3,5
43,3,2014,6,6
43,4,2014,8,12
43,5,2014,10,28
43,6,2014,12,8
43,7,2015,2,23
43,8,2015,6,2
43,9,2015,8,5
43,10,,,
43,11,2015,12,1
43,12,2016,3,1
43,13,2016,5,30
43,14,2016,8,2
43,15,2016,10,4
43,16,2016,12,5
43,17,,,
43,18,2017,5,30
43,19,2017,8,3
44,1,2014,3,6
44,3,2014,6,7
44,4,2014,8,13
44,5,2014,10,14
44,6,2014,12,5
44,7,2015,2,25
44,8,2015,6,2
44,9,2015,8,4
44,10,2015,10,6
44,11,2015,12,1
44,12,2016,3,2
44,13,2016,5,31
44,14,2016,8,1
44,15,2016,10,4
44,16,2016,12,5
44,17,,,
44,18,2017,5,29
44,19,2017,8,3
45,1,2014,3,6
45,3,2014,6,7
45,4,2014,8,12
45,5,2014,10,24
45,6,2014,12,4
45,7,2015,2,23
45,8,2015,6,2
45,9,2015,8,4
45,10,2015,10,6
45,11,2015,12,1
45,12,2016,3,1
45,13,2016,5,30
45,14,2016,8,1
45,15,2016,10,4
45,16,2016,12,6
45,17,2017,2,28
45,18,2017,5,29
47,8,2015,6,1
47,9,2015,8,3
47,10,2015,10,5
47,11,2015,12,1
47,12,2016,3,1
47,13,2016,5,31
47,14,2016,8,
47,15,2016,10,4
47,16,2016,12,6
47,17,,,
47,18,2017,5,30
47,19,2017,8,2
48,8,2015,6,1
48,9,2015,8,5
48,10,2015,10,5
48,11,2015,12,1
49,1,2014,3,19
49,3,2014,6,6
49,4,2014,8,11
49,5,2014,10,28
49,6,2014,12,5
49,7,2015,2,23
49,8,2015,6,3
49,9,2015,8,4
49,10,2015,10,6
49,11,2015,12,1
49,12,2016,3,1
49,13,2016,5,31
49,14,2016,8,2
49,15,2016,10,5
49,16,2016,12,6
49,17,,,
49,18,2017,5,29
49,19,,,
50,8,2015,6,1
51,1,2014,3,5
51,3,2014,6,7
51,4,2014,8,13
51,5,2014,10,14
51,6,2014,12,5
51,8,2015,6,2
51,9,2015,8,5
51,10,2015,10,6
51,11,2015,12,1
51,12,2016,3,2
51,13,2016,5,31
51,14,2016,8,2
51,15,2016,10,3
51,16,2016,12,5
51,17,2017,2,28
52,4,2014,8,13
52,5,2014,10,24
52,6,2014,12,4
52,7,2015,2,23
52,8,2015,6,2
52,9,2015,8,4
52,10,,,
52,11,2015,12,2
52,12,2016,2,29
52,13,2016,5,30
52,14,2016,8,1
52,15,2016,10,3
52,16,2016,12,6
53,8,2015,6,1
53,9,2015,8,4
53,10,2015,10,5
53,11,2015,12,1
53,12,2016,3,2
53,13,2016,5,30
53,14,2016,8,2
53,15,2016,10,3
54,4,2014,8,12
54,5,2014,10,24
54,6,2014,12,4
54,7,2015,2,23
54,8,2015,6,2
54,9,2015,8,4
54,10,2015,10,6
54,11,2015,12,1
54,12,2016,3,2
54,13,2016,5,30
54,14,,,
54,15,2016,10,3
54,16,2016,12,6
54,18,2017,5,31
55,4,2014,8,11
55,5,2014,10,28
55,6,2014,12,8
55,7,2015,2,24
55,8,2015,6,3
55,9,2015,8,3
55,10,2015,10,6
55,11,2015,12,2
55,12,2016,3,2
55,13,2016,5,31
55,14,2016,8,2
55,15,2016,10,3
55,16,2016,12,5
55,17,,,
55,18,2017,5,30
55,19,2017,8,3
56,1,2014,3,5
56,3,2014,6,6
56,4,2014,8,12
56,5,2014,10,14
56,6,2014,12,5
56,7,2015,2,23
56,8,2015,6,2
56,9,2015,8,3
56,10,2015,10,6
56,11,2015,12,1
56,12,2016,3,1
56,13,2016,5,31
56,14,2016,8,1
56,15,2016,10,5
56,16,2016,12,5
56,17,,,
56,18,2017,5,29
56,19,2017,8,2
57,8,2015,6,1
57,9,2015,8,4
57,10,2015,10,5
57,11,2015,11,30
57,12,2016,3,2
57,13,2016,5,31
57,14,2016,8,2
57,15,2016,10,
57,16,2016,12,5
57,17,,,
57,18,2017,5,30
57,19,2017,8,3
58,1,2014,3,5
58,3,2014,6,6
58,4,2014,8,11
58,5,2014,10,14
58,6,2014,12,4
58,7,2015,2,24
58,8,2015,6,3
58,9,2015,8,4
58,10,2015,10,5
58,11,2015,11,30
58,12,2016,3,2
58,13,2016,5,31
58,14,2016,8,2
58,15,2016,10,5
58,16,2016,12,5
58,17,2017,2,28
58,18,2017,5,30
58,19,2017,8,2
59,8,2015,6,1
60,1,2014,3,5
60,3,2014,6,6
60,4,2014,8,12
60,5,2014,10,28
60,6,2014,12,8
60,7,2015,2,24
60,8,2015,6,3
60,9,2015,8,3
60,10,2015,10,6
60,11,2015,12,1
60,12,2016,3,1
60,13,2016,5,31
60,14,2016,8,2
60,15,2016,10,3
60,16,,,
60,17,2017,2,28
60,18,2017,5,30
60,19,2017,8,3
61,8,2015,6,1
61,9,2015,8,3
61,10,2015,10,5
61,11,2015,11,30
62,8,2015,6,1
62,9,2015,8,4
62,10,2015,10,5
62,11,2015,11,30
62,12,2016,3,2
63,11,2015,11,30
63,12,2016,3,1
63,13,2016,5,30
63,14,2016,8,1
63,15,2016,10,3
63,16,2016,12,6
63,17,,,
63,18,2017,5,31
64,11,2015,12,2
64,12,2016,2,29
64,13,2016,5,31
64,14,2016,8,2
64,15,2016,10,5
64,16,2016,12,6
64,17,,,
64,18,2017,5,31
64,19,2017,8,2
101,1,2014,3,5
101,3,2014,6,6
102,1,2014,3,5
102,3,2014,6,6
102,4,2014,8,11
102,5,2014,10,14
102,6,2014,12,5
102,7,2015,2,23
102,8,2015,6,2
102,9,2015,8,4
102,10,2015,10,5
102,11,2015,12,2
102,12,2016,2,29
102,13,2016,5,30
102,14,2016,8,1
102,15,2016,10,4
102,16,2016,12,5
102,17,,,
102,18,2017,5,30
102,19,2017,8,3
104,1,2014,3,5
104,3,2014,6,7
104,4,2014,8,12
104,5,2014,10,24
104,6,2014,12,4
105,1,2014,3,5
105,3,2014,6,7
105,4,2014,8,13
105,5,2014,10,24
105,6,2014,12,4
106,1,2014,3,5
106,3,2014,6,7
106,4,2014,8,12
106,5,2014,10,14
107,1,2014,3,5
107,3,2014,6,6
107,4,2014,8,12
107,5,2014,10,28
107,6,2014,12,8
107,7,2015,2,23
107,8,2015,6,3
107,9,2015,8,4
107,10,,,
107,11,2015,12,2
107,12,2016,3,1
107,13,2016,5,31
107,14,2016,8,2
107,15,2016,10,
107,16,2016,12,6
107,17,2017,2,28
107,18,2017,5,29
107,19,2017,8,3
108,1,2014,3,5
109,1,2014,3,6
109,3,2014,6,6
109,4,2014,8,12
109,5,2014,10,24
109,6,2014,12,5
110,1,2014,3,6
110,3,2014,6,6
110,4,2014,8,12
111,4,2014,8,12
111,5,2014,10,24
111,6,2014,12,5
111,7,2015,2,24
111,8,2015,6,3
111,9,2015,8,5
111,10,2015,10,6
111,11,2015,12,2
111,12,2016,2,29
111,13,2016,5,30
111,14,2016,8,2
111,15,2016,10,3
111,16,2016,12,6
111,17,,,
111,18,2017,5,29
111,19,2017,8,2
112,3,2014,6,7
112,4,2014,8,13
112,5,2014,10,14
112,6,2014,12,5
112,7,2015,2,25
112,8,2015,6,2
112,9,2015,8,3
112,10,2015,10,6
112,11,2015,12,2
112,12,2016,2,29
112,13,2016,5,30
112,14,2016,8,2
112,15,2016,10,4
112,16,2016,12,6
112,17,,,
112,18,2017,5,31
112,19,2017,8,2
113,3,2014,6,6
113,4,2014,8,13
113,5,2014,10,14
113,6,2014,12,4
114,3,2014,6,6
114,4,2014,8,12
114,5,2014,10,14
115,1,2014,3,6
115,3,2014,6,6
115,4,2014,8,12
115,5,2014,10,24
115,6,2014,12,5
115,7,2015,2,25
115,8,2015,6,2
115,9,2015,8,3
115,10,2015,10,6
115,11,2015,12,2
115,12,2016,2,29
115,13,2016,5,30
115,14,2016,8,1
115,15,,,
115,16,2016,12,6
115,18,2017,5,29
115,19,2017,8,3
116,3,2014,6,6
116,4,2014,8,13
116,5,2014,10,24
116,6,2014,12,5
117,3,2014,6,6
117,4,2014,8,12
117,5,2014,10,24
117,6,2014,12,4
117,7,2015,2,24
117,8,2015,6,2
117,9,2015,8,3
117,10,2015,10,6
117,11,2015,12,2
117,12,2016,2,29
117,13,2016,5,30
117,14,2016,8,1
117,15,2016,10,4
117,16,2016,12,6
117,18,2017,5,31
117,19,2017,8,2
118,3,2014,6,6
118,4,2014,8,12
118,5,2014,10,14
119,3,2014,6,7
119,4,2014,8,13
119,5,2014,10,14
119,6,2014,12,4
119,7,2015,2,24
119,8,2015,6,3
119,9,2015,8,3
119,10,2015,10,6
119,11,2015,11,30
119,12,2016,2,29
119,13,2016,5,30
119,14,2016,8,2
119,15,2016,10,4
119,16,2016,12,6
119,17,,,
119,18,2017,5,30
119,19,2017,8,3
120,6,2014,12,4
120,7,2015,2,24
120,8,2015,6,2
120,9,2015,8,4
120,10,2015,10,7
120,11,2015,12,2
120,12,2016,3,1
120,13,2016,5,30
120,14,2016,8,
120,15,2016,10,5
120,16,2016,12,6
120,17,,,
120,18,2017,5,30
120,19,2017,8,3
121,7,2015,2,24
121,8,2015,6,2
121,9,2015,8,5
121,10,2015,10,6
121,11,2015,11,30
121,12,2016,3,2
121,13,2016,5,30
121,14,2016,8,1
121,15,2016,10,4
121,16,2016,12,5
121,17,,,
121,18,2017,5,30
121,19,2017,8,3
122,7,2015,2,25
122,8,2015,6,2
122,9,2015,8,3
122,10,2015,10,5
122,11,2015,12,1
122,12,2016,3,1
122,13,2016,5,30
122,14,2016,8,1
122,15,2016,10,4
122,16,2016,12,5
122,17,,,
122,18,2017,5,29
122,19,2017,8,3
123,7,2015,2,25
123,8,2015,6,3
123,9,2015,8,3
123,10,2015,10,5
123,11,2015,11,30
123,12,2016,3,1
123,13,2016,5,30
123,14,2016,8,2
123,15,2016,10,3
123,16,2016,12,6
123,17,,,
123,18,2017,5,31
123,19,2017,8,2
124,8,2015,6,1
125,8,2015,6,1
126,8,2015,6,1
127,8,2015,6,1
127,9,2015,8,3
127,10,2015,10,5
128,8,2015,6,1
129,8,2015,6,1
129,9,2015,8,3
130,8,2015,6,1
131,8,2015,6,1
131,9,2015,8,5
132,8,2015,6,1
132,9,2015,8,4
133,8,2015,6,1
133,9,2015,8,3
133,10,2015,10,5
134,8,2015,6,2
135,8,2015,6,3
135,9,2015,8,5
135,10,2015,10,6
135,11,2015,12,2
135,12,2016,2,29
135,13,2016,5,31
135,14,,,
135,15,2016,10,3
135,16,2016,12,5
135,17,,,
135,18,2017,5,31
135,19,2017,8,3
136,8,2015,6,3
136,9,2015,8,3
136,10,2015,10,6
136,11,2015,11,30
136,12,2016,2,29
136,13,2016,5,30
136,14,,,
136,15,2016,10,3
136,16,2016,12,6
136,17,,,
136,18,2017,5,30
136,19,2017,8,3
137,8,2015,6,3
137,9,2015,8,4
138,8,2015,6,3
138,9,2015,8,3
138,10,2015,10,5
138,11,2015,12,2
138,12,2016,3,2
138,13,2016,5,31
138,14,,,
138,15,2016,10,4
138,16,2016,12,6
138,17,,,
138,18,2017,5,31
138,19,2017,8,2
139,8,2015,6,3
139,9,2015,8,4
139,10,2015,10,6
